P,ErrMean,ErrMeanAbs,ErrStDev,ErrStDevDevSqrtN
0.33033999999999997,-7.211794566908447e-06,7.211794566908447e-06,0.0002664415747009866,2.6644157470098657e-06
0.33532999999999996,-3.142464992835686e-06,3.142464992835686e-06,0.0002612970427450646,2.6129704274506463e-06
0.34031999999999996,-8.505601181126865e-07,8.505601181126865e-07,0.00027104215687908176,2.7104215687908177e-06
0.34530999999999995,-1.8897891208278523e-05,1.8897891208278523e-05,0.00026663190758219167,2.6663190758219168e-06
0.3503,6.309773867208491e-07,6.309773867208491e-07,0.0002665412614079989,2.665412614079989e-06
0.35529,1.8849329220338885e-06,1.8849329220338885e-06,0.00026894180153309123,2.6894180153309123e-06
0.36028,-5.445634508880387e-06,5.445634508880387e-06,0.00027265706564219815,2.7265706564219814e-06
0.36527,5.283103448810417e-06,5.283103448810417e-06,0.0002691483986425731,2.6914839864257307e-06
0.37026,3.3384193500311744e-06,3.3384193500311744e-06,0.00027152344293139417,2.715234429313942e-06
0.37525,-3.6195056816629324e-06,3.6195056816629324e-06,0.00027491195216376463,2.7491195216376465e-06
0.38023999999999997,5.098163915444254e-06,5.098163915444254e-06,0.00027844998240547024,2.784499824054702e-06
0.38522999999999996,-1.5486780015864233e-07,1.5486780015864233e-07,0.0002765555950751409,2.765555950751409e-06
0.39021999999999996,1.0903799956035514e-05,1.0903799956035514e-05,0.00027626431557067086,2.7626431557067084e-06
0.39520999999999995,-1.3324898492515225e-06,1.3324898492515225e-06,0.00027839249532312304,2.7839249532312306e-06
0.4002,3.0513124498826537e-06,3.0513124498826537e-06,0.0002745579917884172,2.7455799178841723e-06
0.40519,-3.268493619533647e-06,3.268493619533647e-06,0.0002724802795009694,2.7248027950096937e-06
0.41018,-1.0312482742467471e-05,1.0312482742467471e-05,0.0002739051881759633,2.739051881759633e-06
0.41517,-4.3257044892875405e-07,4.3257044892875405e-07,0.0002763309759499003,2.763309759499003e-06
0.42016,2.289076013881736e-06,2.289076013881736e-06,0.000272914909379149,2.72914909379149e-06
0.42515,6.765972807263632e-06,6.765972807263632e-06,0.000267575777417785,2.6757577741778504e-06
0.43013999999999997,-2.7377531459091442e-06,2.7377531459091442e-06,0.000272001809590519,2.7200180959051897e-06
0.43512999999999996,7.413939393913738e-06,7.413939393913738e-06,0.00027246519361408933,2.7246519361408934e-06
0.44011999999999996,2.452725910974507e-07,2.452725910974507e-07,0.00027553149167239293,2.7553149167239294e-06
0.44510999999999995,-6.374419250884527e-06,6.374419250884527e-06,0.0002743763415700687,2.7437634157006867e-06
0.45009999999999994,4.774077274550092e-07,4.774077274550092e-07,0.0002752749722548234,2.752749722548234e-06
0.45509,1.1319751630901543e-06,1.1319751630901543e-06,0.0002716451676058711,2.716451676058711e-06
0.46008,3.528066517607259e-06,3.528066517607259e-06,0.00028208664359638443,2.820866435963844e-06
0.46507,6.7312066978270464e-06,6.7312066978270464e-06,0.00027016793982559704,2.7016793982559703e-06
0.47006,-1.8344394912521155e-06,1.8344394912521155e-06,0.0002724494539220028,2.7244945392200284e-06
0.47505,1.562549651695816e-06,1.562549651695816e-06,0.00027657293979409123,2.7657293979409124e-06
0.48003999999999997,-6.887596785924987e-07,6.887596785924987e-07,0.0002829208741253085,2.829208741253085e-06
0.48502999999999996,1.0407728032741025e-05,1.0407728032741025e-05,0.00026954746436892924,2.6954746436892924e-06
0.49001999999999996,1.651327781916897e-05,1.651327781916897e-05,0.00027532215030389936,2.7532215030389935e-06
0.49500999999999995,-6.9403541322534514e-06,6.9403541322534514e-06,0.000280403221016098,2.80403221016098e-06
0.49999999999999994,-6.475531539281132e-06,6.475531539281132e-06,0.0003365974657126,3.365974657126e-06
0.5049899999999999,6.962290113444736e-06,6.962290113444736e-06,0.0002752496768091762,2.7524967680917617e-06
0.50998,-1.68643095752777e-05,1.68643095752777e-05,0.00027645060688386876,2.7645060688386875e-06
0.5149699999999999,-9.861411207789795e-06,9.861411207789795e-06,0.00026818381441199527,2.6818381441199528e-06
0.51996,2.293210771966747e-06,2.293210771966747e-06,0.00028067066527465476,2.8067066527465475e-06
0.5249499999999999,-4.726173559019109e-06,4.726173559019109e-06,0.000280651200923022,2.80651200923022e-06
0.52994,-5.6089739860709645e-08,5.6089739860709645e-08,0.00027209572340904613,2.7209572340904614e-06
0.53493,-7.214417662443717e-06,7.214417662443717e-06,0.0002637298344954094,2.6372983449540937e-06
0.53992,-1.2353811553488248e-07,1.2353811553488248e-07,0.0002825137015547544,2.825137015547544e-06
